STATE 1'S ACTION 1->1		0.8998351343475431% of the time
STATE 1'S ACTION 1->2		0.10015688184362113% of the time
STATE 1'S ACTION 1->3		0.0% of the time
STATE 1'S ACTION 1->4		0.0% of the time
STATE 1'S ACTION 1->5		0.0% of the time
STATE 1'S ACTION 1->6		0.0% of the time
STATE 1'S ACTION 1->7		0.0% of the time
STATE 1'S ACTION 1->8		0.0% of the time
STATE 1'S ACTION 1->9		0.0% of the time
STATE 1'S ACTION 1->10		0.0% of the time
STATE 1'S ACTION 1->11		0.0% of the time
STATE 1'S ACTION 2->1		0.9001633523578255% of the time
STATE 1'S ACTION 2->2		0.0% of the time
STATE 1'S ACTION 2->3		0.0% of the time
STATE 1'S ACTION 2->4		0.0% of the time
STATE 1'S ACTION 2->5		0.09981667791627892% of the time
STATE 1'S ACTION 2->6		0.0% of the time
STATE 1'S ACTION 2->7		0.0% of the time
STATE 1'S ACTION 2->8		0.0% of the time
STATE 1'S ACTION 2->9		0.0% of the time
STATE 1'S ACTION 2->10		0.0% of the time
STATE 1'S ACTION 2->11		0.0% of the time
STATE 1'S ACTION 3->1		0.10025912857503314% of the time
STATE 1'S ACTION 3->2		0.10018303208468338% of the time
STATE 1'S ACTION 3->3		0.0% of the time
STATE 1'S ACTION 3->4		0.0% of the time
STATE 1'S ACTION 3->5		0.7995418190265257% of the time
STATE 1'S ACTION 3->6		0.0% of the time
STATE 1'S ACTION 3->7		0.0% of the time
STATE 1'S ACTION 3->8		0.0% of the time
STATE 1'S ACTION 3->9		0.0% of the time
STATE 1'S ACTION 3->10		0.0% of the time
STATE 1'S ACTION 3->11		0.0% of the time
STATE 1'S ACTION 4->1		0.10100188027951618% of the time
STATE 1'S ACTION 4->2		0.7986657632772189% of the time
STATE 1'S ACTION 4->3		0.0% of the time
STATE 1'S ACTION 4->4		0.0% of the time
STATE 1'S ACTION 4->5		0.10029226519558515% of the time
STATE 1'S ACTION 4->6		0.0% of the time
STATE 1'S ACTION 4->7		0.0% of the time
